Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,
356,beef flank steak cooked,380,17.5,7.2,7.1,0.7,0,0,51.8,0,152.3,0.068,119.1,0,0.1,0.021,0.003,0.2,14,1,1,0,0,0.7,0.069,33.8,0.2,3.4,41.4,0.095,377.9,612.9,0.073,9,106.5,
357,chuck eye steak grilled,85.3,6.05,2.67,2.91,0.44,0,0,7.69,0,26.8,0.02,17.01,0.4,0.0012,0.02,0.0083,0.0085,0.06,1.44,0.23,0.11,0,0.0093,0.03,0.002,4.93,0.02,0.75,6.78,0.0045,59.44,100.1,0.0012,14.279,
358,veal meat raw,65.3,3.07,1.27,1.17,0.22,0,0,8.78,0,37.2,0.04,33.04,0,0.04,0.0097,0.0061,0.12,3.4,0.59,0.19,0,0,0.12,0,6.8,0.05,0.38,10.89,0.01,92.08,142.88,0.0095,1.39,19.03,
359,veal loin cooked,80,4.9,1.9,1.9,0.3,0,0,8.5,0,33.4,0.001,14.7,0,0.011,0.096,0.069,0.053,2.6,0.2,0.039,0,0,0.1,0.049,7.9,0.074,0.3,6.8,0.047,62.3,79.2,0.082,1,21.6,
360,veal loin raw,46,2.6,1.1,1,0.2,0,0,5.3,0,22.4,0.079,19.9,0,0.025,0.033,0.072,0.091,2.4,0.4,0.1,0,0,0.02,0.094,4.5,0.027,0.2,6.5,0.07,56.3,86,0.089,0.7,12.6,
361,veal shoulder cooked,435,19.4,7.2,7.4,1.4,0,0,61.2,0,240.7,0.2,107.7,0,0.1,0.049,0.005,0.6,12.3,2.9,0.5,0,0,0.8,0.06,66.9,0.3,2.7,51.6,0.037,477.5,590.2,0.091,12.6,150.2,
362,beef tenderloin steak raw,405,29.8,12,12.7,1.1,0,0,32.2,0,139.4,0.032,100.9,0,0.1,0.087,0.098,0.2,9.5,0.9,0.9,0,0,0.7,0.056,37.7,0.1,2.3,32.8,0.094,295.2,495.3,0.049,5.6,102,
363,veal shank cooked,371,12,4,4.5,1,0,0,61.2,0,240.6,0.2,119.8,0,0.062,0.018,0.016,0.6,18.3,2.4,0.5,0,0,0,0,64,0.2,2.4,48.5,0.017,436.5,591.7,0.099,12.9,139.6,
364,beef brisket raw,113.9,8.65,3.42,3.86,0.3,0,0,8.36,0,30.84,0.03,27.71,0,0.04,0.0036,0.0016,0.07,1.58,0.14,0.17,0,0,0,0,2.72,0.03,0.77,8.62,0.0034,80.29,127.92,0.0033,1.68,20.5,
365,pastrami beef,104,4.1,1.9,1.5,0.1,0.3,0.08,15.5,0,48.3,0.8,49.4,0,0.084,0.031,0.072,0.1,3,0.2,0.2,0.2,0.09,0.085,0.038,7.1,0.024,1.6,12.1,0.048,124.3,149.1,0.075,3.5,28.8,
366,beef flank steak raw,47,2.3,1,1,0.038,0,0,6,0,19.2,0.054,19.7,0,0.082,0.05,0.046,0.07,1.9,0.2,0.2,0,0.097,0.034,0.072,7.6,0.095,0.4,6.2,0.061,54.6,93.4,0.076,1.1,16.3,
367,beef top sirloin steak cooked,430,25.2,9.9,10.5,1,0,0,47.7,0,162.8,0.055,103.3,0,0.1,0.075,0.072,0.2,12.7,0.9,1,0,0.009,0.8,0.069,35.4,0.1,3.1,38.9,0.063,369.9,594.7,0.026,8.6,111.4,
